team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
PEPPA PIGS,Lalaluke413,50,27,54.00,9083,181.66,20,0.4,16,0.32,26,0.52,57,1.14,316,6.32,107,2.14,26,0.52,35.09,327.98,45.17,97559,1951.18,64705,1294.1,32854,657.08,730,14.6,2819,56.38,22533,450.66,13851,277.02,8682,173.64,165,3.3,752,15.04,2355.54,47.11,1415.1,28.3,11199,223.98,8163,163.26,2614,52.28,1348.89,22560000,451200,10195.93,203.92,6507.92,130.16,1123.15,22.46,12118.59,242.37,5371.69,107.43,336.77,6.74,717.07,14.34,0.18,3909,78.18,6393.6,127.87,6006.2,120.12,5549.02,110.98,12278.01,245.56,11334.83,226.7,6492.13,129.84,8352.71,167.05,5545.86,110.92,3928.43,78.57,56,1.12,28,0.56
EPIC GAMERS,Linus,52,32,61.54,9235,177.6,20,0.38,23,0.44,32,0.62,52,1,385,7.4,133,2.56,45,0.87,38.46,240.01,53.76,78009,1500.17,46638,896.88,31371,603.29,613,11.79,2717,52.25,13839,266.13,7401,142.33,6438,123.81,93,1.79,565,10.87,1232.44,23.7,1658.11,31.89,6849,131.71,15496,298,2026,38.96,1402.53,24870356,478276.06,10765.59,207.03,7044.37,135.47,1239.34,23.83,12807.38,246.3,5883.97,113.15,357.96,6.88,477.63,9.19,0.13,3583,68.9,6501.5,125.03,5315.2,102.22,5213.76,100.26,13835.56,266.07,13050.26,250.97,5999.05,115.37,9598.52,184.59,6289.25,120.95,3161.56,60.8,32,0.62,33,0.63
EPIC GAMERS,Maverick,1,1,100.00,85,85,0,0,0,0,1,1,1,1,6,6,2,2,0,0,0,203,33.14,212,212,138,138,74,74,2,2,7,7,49,49,0,0,49,49,0,0,5,5,18.84,18.84,0.65,0.65,65,65,61,61,0,0,1189,74274,74274,49.62,49.62,13.82,13.82,2.29,2.29,56.59,56.59,9.14,9.14,0,0,2.4,2.4,0.48,5,5,20.8,20.8,27.9,27.9,17.42,17.42,48.31,48.31,32.83,32.83,32.9,32.9,28.39,28.39,14.7,14.7,22.65,22.65,0,0,0,0
CLUELESS,Metarus,53,24,45.28,17094,322.53,46,0.87,24,0.45,54,1.02,137,2.58,397,7.49,142,2.68,34,0.64,33.58,332.79,51.41,105745,1995.19,68774,1297.62,36971,697.57,838,15.81,3189,60.17,20976,395.77,10945,206.51,10031,189.26,144,2.72,861,16.25,1892.31,35.7,1713.43,32.33,8662,163.43,15043,283.83,3292,62.11,1476.63,26825292,506137.59,9615.31,181.42,7845.45,148.03,1941.13,36.63,11224.31,211.78,7537.97,142.23,639.62,12.07,258,4.87,0.16,1664,31.4,4996,94.26,6775,127.83,5730.54,108.12,13671.32,257.95,12343.11,232.89,7058.78,133.18,9158.45,172.8,6067.57,114.48,4175.91,78.79,25,0.47,43,0.81
TEAM GEORGE,MiniMug,52,22,42.31,16193,311.4,29,0.56,20,0.38,74,1.42,101,1.94,376,7.23,131,2.52,47,0.9,28.71,360.55,47.55,108709,2090.56,79662,1531.96,29047,558.6,918,17.65,2557,49.17,15387,295.9,9520,183.08,5867,112.83,112,2.15,508,9.77,2758.68,53.05,1298.78,24.98,6771,130.21,10566,203.19,1495,28.75,1418.78,24742628,475819.78,9637.16,185.33,7284.62,140.09,1628.81,31.32,10575.77,203.38,7283.81,140.07,691.09,13.29,423.21,8.14,0.16,2606,50.12,8570.8,164.82,4377.6,84.18,4093.15,78.71,14457.54,278.03,13441.3,258.49,5109.25,98.25,10394.4,199.89,5289.25,101.72,2867.04,55.14,14,0.27,39,0.75
Kameron with a C & Steve & Muffled,Muffled,49,27,55.10,18087,369.12,47,0.96,39,0.8,58,1.18,133,2.71,337,6.88,109,2.22,35,0.71,35.34,363.61,48.32,105178,2146.49,75748,1545.88,29430,600.61,924,18.86,2616,53.39,27119,553.45,17717,361.57,9402,191.88,217,4.43,855,17.45,2173.05,44.35,1887.24,38.52,9849,201,16684,340.49,3925,80.1,1537.86,25849564,527542.12,7971.5,162.68,7535.91,153.79,2363.6,48.24,10034.76,204.79,7127.35,145.46,708.94,14.47,310.41,6.33,0.13,2486,50.73,5210.9,106.34,6299.1,128.55,5257.8,107.3,12613.23,257.41,10842.8,221.28,7028.19,143.43,7884.61,160.91,5775.4,117.87,4211,85.94,77,1.57,36,0.73
SAVAGE MODE,Naryoh,56,23,41.07,13401,239.3,33,0.59,21,0.38,39,0.7,106,1.89,384,6.86,150,2.68,55,0.98,31.13,354.16,44.09,113805,2032.23,80086,1430.11,33719,602.12,920,16.43,2784,49.71,16517,294.95,8204,146.5,8313,148.45,96,1.71,701,12.52,3885.35,69.38,1384.55,24.72,11743,209.7,11268,201.21,1306,23.32,1430.37,26681942,476463.25,10537.75,188.17,7486.38,133.69,1939.23,34.63,12812.92,228.8,6662.73,118.98,487.7,8.71,219.22,3.91,0.19,1153,20.59,7169,128.02,5667.1,101.2,5583.28,99.7,14380.13,256.79,13695.55,244.56,6267.78,111.92,10216.01,182.43,6320.98,112.87,3426.43,61.19,30,0.54,44,0.79
EPIC GAMERS,Outlaw,1,0,0.00,0,0,0,0,0,0,0,0,0,0,6,6,1,1,0,0,0,24,53.8,36,36,0,0,36,36,0,0,3,3,23,23,0,0,23,23,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1103,23464,23464,20.74,20.74,0.43,0.43,0,0,20.97,20.97,0.2,0.2,0,0,0,0,0,0,0,12.9,12.9,0.3,0.3,0,0,21.17,21.17,6.41,6.41,14.77,14.77,2.52,2.52,13.58,13.58,5.07,5.07,0,0,0,0
LEBELT,Pacific,57,41,71.93,26233,460.23,70,1.23,41,0.72,84,1.47,215,3.77,377,6.61,97,1.7,40,0.7,32.56,397.13,50.51,133238,2337.51,91893,1612.16,41345,725.35,1083,19,3615,63.42,28751,504.4,16778,294.35,11973,210.05,207,3.63,1066,18.7,2131.75,37.4,1271.06,22.3,7334,128.67,16602,291.26,3750,65.79,1534.24,29704776,521136.41,9512.64,166.89,8566.88,150.3,2502.97,43.91,11673.31,204.79,8123.59,142.52,785.64,13.78,354.99,6.23,0.08,4297,75.39,6566,115.19,6474.7,113.59,5007.55,87.85,15575.01,273.25,13098.48,229.8,7484.08,131.3,9894.95,173.6,6205.28,108.86,4482.34,78.64,33,0.58,47,0.82
BBQ PRINGLES,RJ5588,44,18,40.91,10675,242.61,18,0.41,15,0.34,40,0.91,80,1.82,321,7.3,115,2.61,29,0.66,22.5,411.89,48.33,105175,2390.34,84576,1922.18,20599,468.16,987,22.43,1730,39.32,21728,493.82,15556,353.55,6172,140.27,178,4.05,517,11.75,2853.21,64.85,1740.34,39.55,18022,409.59,13893,315.75,2241,50.93,1628.67,23884888,542838.38,5635.4,128.08,7561.98,171.86,2390.74,54.33,9332.62,212.1,5711.46,129.81,544.05,12.36,137.67,3.13,0.15,907,20.61,4702,106.86,5626.8,127.88,4828.36,109.74,10759.75,244.54,10089.74,229.31,5498.39,124.96,7541.54,171.4,4766.2,108.32,3280.36,74.55,34,0.77,25,0.57
EPIC GAMERS,Samara,1,1,100.00,4,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,221,11.32,60,60,0,0,60,60,0,0,5,5,12,12,0,0,12,12,0,0,1,1,9.37,9.37,0,0,0,0,0,0,0,0,1103,30691,30691,19.71,19.71,8.6,8.6,0.07,0.07,26.15,26.15,2.24,2.24,0,0,0.18,0.18,0.18,1,1,12.5,12.5,9.1,9.1,9.94,9.94,18.44,18.44,20.7,20.7,7.68,7.68,15.86,15.86,12.46,12.46,0.07,0.07,0,0,0,0
ALT+F4,ScootleBoot,48,32,66.67,17281,360.02,42,0.88,37,0.77,59,1.23,124,2.58,307,6.4,87,1.81,28,0.58,33.87,307.02,47.43,88245,1838.44,57652,1201.08,30593,637.35,684,14.25,2593,54.02,20319,423.31,10868,226.42,9451,196.9,130,2.71,799,16.65,1528.65,31.85,1772.09,36.92,5963,124.23,9166,190.96,1656,34.5,1389.56,23064272,480505.66,9960.82,207.52,6248.17,130.17,1431.85,29.83,11375.36,236.99,5739.68,119.58,525.78,10.95,322.27,6.71,0.16,1971,41.06,6243.2,130.07,5465.7,113.87,4185.05,87.19,13455.75,280.33,11424.27,238.01,6216.61,129.51,8560.1,178.34,5499.7,114.58,3581.04,74.6,30,0.62,29,0.6
LEBELT,Senor Brightside,57,41,71.93,18946,332.39,54,0.95,47,0.82,53,0.93,147,2.58,377,6.61,97,1.7,24,0.42,36.73,352.14,48.82,119753,2100.93,80264,1408.14,39489,692.79,984,17.26,3387,59.42,22447,393.81,11237,197.14,11210,196.67,147,2.58,969,17,2227.45,39.08,1892.95,33.21,11421,200.37,18179,318.93,3409,59.81,1413.36,27349832,479821.62,10965.36,192.37,8018.8,140.68,1589.69,27.89,13523.77,237.26,6670.58,117.03,379.57,6.66,529.41,9.29,0.14,3667,64.33,6099.5,107.01,7227.6,126.8,5984.13,104.98,14589.82,255.96,13019.33,228.41,7554.64,132.54,9527.63,167.15,6490.83,113.87,4555.48,79.92,31,0.54,46,0.81
GRANDPLATS,Sheaf Keef,9,3,33.33,2251,250.11,3,0.33,2,0.22,10,1.11,14,1.56,71,7.89,27,3,7,0.78,21.43,303.71,48.81,15854,1761.56,11291,1254.56,4563,507,134,14.89,376,41.78,1837,204.11,1049,116.56,788,87.56,13,1.44,70,7.78,414.79,46.09,325,36.11,1667,185.22,2027,225.22,279,31,1374.66,4009553,445505.88,1724.04,191.56,1185.86,131.76,204.11,22.68,1930.16,214.46,1070.7,118.97,113.16,12.57,72.33,8.04,0.19,394,43.78,1246.2,138.47,826,91.78,823.04,91.45,2290.97,254.55,2322.93,258.1,791.12,87.9,1883.36,209.26,819.26,91.03,411.4,45.71,3,0.33,8,0.89
Kameron with a C & Steve & Muffled,Steve,49,27,55.10,21493,438.63,50,1.02,36,0.73,68,1.39,187,3.82,337,6.88,109,2.22,54,1.1,26.74,414.74,46.49,120819,2465.69,92933,1896.59,27886,569.1,1075,21.94,2409,49.16,22624,461.71,14740,300.82,7884,160.9,177,3.61,674,13.76,2663.68,54.36,1401.6,28.6,17455,356.22,11637,237.49,1956,39.92,1594.52,26719104,545287.81,7326.65,149.52,7498.38,153.03,2995.94,61.14,10147.31,207.09,7015.31,143.17,658.42,13.44,290.92,5.94,0.14,2150,43.88,5852.9,119.45,5721.6,116.77,4575.52,93.38,13245.59,270.32,11493.18,234.55,6327.83,129.14,8530.02,174.08,5504.32,112.33,3786.72,77.28,32,0.65,52,1.06
TEAM GEORGE,Swan Song,52,22,42.31,13766,264.73,38,0.73,19,0.37,37,0.71,117,2.25,376,7.23,131,2.52,45,0.87,32.48,358.53,51.42,107719,2071.52,82743,1591.21,24976,480.31,971,18.67,2134,41.04,24547,472.06,15805,303.94,8742,168.12,184,3.54,733,14.1,2363.79,45.46,3223.34,61.99,13711,263.67,14492,278.69,2618,50.35,1468.25,25621284,492717,9103.58,175.07,7535.34,144.91,1890.84,36.36,9969.74,191.73,7422.92,142.75,1137.14,21.87,346.01,6.65,0.18,1959,37.67,4168,80.15,7301.1,140.41,6541.13,125.79,11988.7,230.55,11083.42,213.14,7446.27,143.2,8096.2,155.7,5800.74,111.55,4632.85,89.09,25,0.48,42,0.81
PEPPA PIGS,Terminator,50,27,54.00,16459,329.18,40,0.8,24,0.48,59,1.18,128,2.56,316,6.32,107,2.14,39,0.78,31.25,366.13,48.1,107732,2154.64,72396,1447.92,35336,706.72,865,17.3,3058,61.16,25739,514.78,16226,324.52,9513,190.26,190,3.8,824,16.48,2188.33,43.77,1437.6,28.75,9835,196.7,14180,283.6,2812,56.24,1511.26,25333490,506669.81,8126.78,162.54,7803.62,156.07,1874.74,37.49,10422.77,208.46,6817.7,136.35,564.76,11.3,378.4,7.57,0.12,3122,62.44,5551.9,111.04,5561.2,111.22,4873.64,97.47,12931.51,258.63,11191.07,223.82,6614.04,132.28,8178.18,163.56,5736.37,114.73,3890.48,77.81,49,0.98,42,0.84
